0;0
0.5;0.126827
1;0.251572
1.5;0.372186
2;0.486689
2.5;0.5932
3;0.689971
3.5;0.775413
4;0.848122
4.5;0.906905
5;0.950797
5.5;0.979077
6;0.99128
6.5;0.987207
7;0.966924
7.5;0.930764
8;0.87932
8.5;0.813439
9;0.7342
9.5;0.642906
10;0.541056
10.5;0.430322
11;0.312521
11.5;0.189589
12;0.0635442
12.5;-0.0635442
13;-0.189589
13.5;-0.312521
14;-0.430322
14.5;-0.541056
15;-0.642906
15.5;-0.7342
16;-0.813439
16.5;-0.87932
17;-0.930764
17.5;-0.966924
18;-0.987207
18.5;-0.99128
19;-0.979077
19.5;-0.950797
20;-0.906905
20.5;-0.848122
21;-0.775413
21.5;-0.689971
22;-0.5932
22.5;-0.486689
23;-0.372186
23.5;-0.251572
24;-0.126827
24.5;0

0;0
0.5;0.125786
1;0.249507
1.5;0.36913
2;0.482693
2.5;0.58833
3;0.684306
3.5;0.769047
4;0.841159
4.5;0.89946
5;0.942991
5.5;0.971039
6;0.983142
6.5;0.979102
7;0.958985
7.5;0.923122
8;0.872101
8.5;0.80676
9;0.728173
9.5;0.637628
10;0.536614
10.5;0.426789
11;0.309955
11.5;0.188033
12;0.0630225
12.5;-0.0630225
13;-0.188033
13.5;-0.309955
14;-0.426789
14.5;-0.536614
15;-0.637628
15.5;-0.728173
16;-0.80676
16.5;-0.872101
17;-0.923122
17.5;-0.958985
18;-0.979102
18.5;-0.983142
19;-0.971039
19.5;-0.942991
20;-0.89946
20.5;-0.841159
21;-0.769047
21.5;-0.684306
22;-0.58833
22.5;-0.482693
23;-0.36913
23.5;-0.249507
24;-0.125786
24.5;0

0;0
0.5;0.124753
1;0.247458
1.5;0.3661
2;0.47873
2.5;0.5835
3;0.678688
3.5;0.762733
4;0.834253
4.5;0.892075
5;0.935249
5.5;0.963067
6;0.97507
6.5;0.971064
7;0.951112
7.5;0.915543
8;0.864941
8.5;0.800137
9;0.722194
9.5;0.632393
10;0.532208
10.5;0.423285
11;0.307411
11.5;0.186489
12;0.0625051
12.5;-0.0625051
13;-0.186489
13.5;-0.307411
14;-0.423285
14.5;-0.532208
15;-0.632393
15.5;-0.722194
16;-0.800137
16.5;-0.864941
17;-0.915543
17.5;-0.951112
18;-0.971064
18.5;-0.97507
19;-0.963067
19.5;-0.935249
20;-0.892075
20.5;-0.834253
21;-0.762733
21.5;-0.678688
22;-0.5835
22.5;-0.47873
23;-0.3661
23.5;-0.247458
24;-0.124753
24.5;0

0;0
0.5;0.123729
1;0.245427
1.5;0.363094
2;0.4748
2.5;0.578709
3;0.673116
3.5;0.756471
4;0.827404
4.5;0.884751
5;0.927571
5.5;0.95516
6;0.967065
6.5;0.963091
7;0.943303
7.5;0.908027
8;0.85784
8.5;0.793568
9;0.716265
9.5;0.627201
10;0.527839
10.5;0.41981
11;0.304887
11.5;0.184958
12;0.0619919
12.5;-0.0619919
13;-0.184958
13.5;-0.304887
14;-0.41981
14.5;-0.527839
15;-0.627201
15.5;-0.716265
16;-0.793568
16.5;-0.85784
17;-0.908027
17.5;-0.943303
18;-0.963091
18.5;-0.967065
19;-0.95516
19.5;-0.927571
20;-0.884751
20.5;-0.827404
21;-0.756471
21.5;-0.673116
22;-0.578709
22.5;-0.4748
23;-0.363094
23.5;-0.245427
24;-0.123729
24.5;0

0;0
0.5;0.122713
1;0.243412
1.5;0.360113
2;0.470902
2.5;0.573958
3;0.66759
3.5;0.75026
4;0.820611
4.5;0.877487
5;0.919955
5.5;0.947318
6;0.959126
6.5;0.955184
7;0.935559
7.5;0.900572
8;0.850797
8.5;0.787053
9;0.710385
9.5;0.622052
10;0.523505
10.5;0.416363
11;0.302384
11.5;0.183439
12;0.061483
12.5;-0.061483
13;-0.183439
13.5;-0.302384
14;-0.416363
14.5;-0.523505
15;-0.622052
15.5;-0.710385
16;-0.787053
16.5;-0.850797
17;-0.900572
17.5;-0.935559
18;-0.955184
18.5;-0.959126
19;-0.947318
19.5;-0.919955
20;-0.877487
20.5;-0.820611
21;-0.75026
21.5;-0.66759
22;-0.573958
22.5;-0.470902
23;-0.360113
23.5;-0.243412
24;-0.122713
24.5;0

0;0
0.5;0.121706
1;0.241413
1.5;0.357157
2;0.467036
2.5;0.569246
3;0.662109
3.5;0.7441
4;0.813874
4.5;0.870283
5;0.912403
5.5;0.939541
6;0.951251
6.5;0.947342
7;0.927878
7.5;0.893178
8;0.843812
8.5;0.780591
9;0.704552
9.5;0.616945
10;0.519207
10.5;0.412945
11;0.299901
11.5;0.181933
12;0.0609782
12.5;-0.0609782
13;-0.181933
13.5;-0.299901
14;-0.412945
14.5;-0.519207
15;-0.616945
15.5;-0.704552
16;-0.780591
16.5;-0.843812
17;-0.893178
17.5;-0.927878
18;-0.947342
18.5;-0.951251
19;-0.939541
19.5;-0.912403
20;-0.870283
20.5;-0.813874
21;-0.7441
21.5;-0.662109
22;-0.569246
22.5;-0.467036
23;-0.357157
23.5;-0.241413
24;-0.121706
24.5;0

0;0
0.5;0.120707
1;0.239431
